,Player,PS/G▼,SALARY
458,Jordan Mickey,1,1170960
460,Keith Appling,1,61776
461,Luis Montero,1,525093
462,Pat Connaughton,1,625093
463,Bryce Cotton,1,700902
466,James Young,1,1749840
467,Joel Anthony,0,2500000
468,Aaron Harrison,0,525093
469,Sasha Kaun,0,1276000
472,Bruno Caboclo,0,1524000
473,Sam Dekker,0,1646400
